paper_id,dimension,score,requires_real_paper_review,rationale
"humanram","task",0.8,true,"Possible task overlap via terms: geometry, human, point, reconstruction."
"humanram","input",0.8,true,"Possible input overlap via terms: image, pose, smpl, smpl-x."
"humanram","output",0.4,true,"Possible output overlap via terms: geometry, point."
"humanram","representation",0.0,true,"No strong representation overlap in fixture text; requires review."
"humanram","model component",0.0,true,"No strong model component overlap in fixture text; requires review."
"humanram","human prior usage",1.0,true,"Possible human prior usage overlap via terms: body, human, pose, smpl, smpl-x."
"humanram","SMPL / SMPL-X encoding",0.5,true,"Possible SMPL / SMPL-X encoding overlap via terms: smpl, smpl-x."
"humanram","VGGT token integration",0.25,true,"Possible VGGT token integration overlap via terms: vggt."
"humanram","evaluation target",0.2,true,"Possible evaluation target overlap via terms: geometry."
"humanram","dataset",0.25,true,"Possible dataset overlap via terms: humanram."
"humanram","claimed contribution",0.25,true,"Possible claimed contribution overlap via terms: feature."
"neuralbody","task",0.6,true,"Possible task overlap via terms: geometry, human, reconstruction."
"neuralbody","input",0.8,true,"Possible input overlap via terms: camera, image, pose, smpl."
"neuralbody","output",0.4,true,"Possible output overlap via terms: geometry, rendered."
"neuralbody","representation",0.0,true,"No strong representation overlap in fixture text; requires review."
"neuralbody","model component",0.0,true,"No strong model component overlap in fixture text; requires review."
"neuralbody","human prior usage",0.8,true,"Possible human prior usage overlap via terms: body, human, pose, smpl."
"neuralbody","SMPL / SMPL-X encoding",0.25,true,"Possible SMPL / SMPL-X encoding overlap via terms: smpl."
"neuralbody","VGGT token integration",0.25,true,"Possible VGGT token integration overlap via terms: vggt."
"neuralbody","evaluation target",0.4,true,"Possible evaluation target overlap via terms: geometry, visual."
"neuralbody","dataset",0.25,true,"Possible dataset overlap via terms: neuralbody."
"neuralbody","claimed contribution",0.25,true,"Possible claimed contribution overlap via terms: feature."
"hart-review-needed","task",0.0,true,"No strong task overlap in fixture text; requires review."
"hart-review-needed","input",0.0,true,"No strong input overlap in fixture text; requires review."
"hart-review-needed","output",0.0,true,"No strong output overlap in fixture text; requires review."
"hart-review-needed","representation",0.0,true,"No strong representation overlap in fixture text; requires review."
"hart-review-needed","model component",0.0,true,"No strong model component overlap in fixture text; requires review."
"hart-review-needed","human prior usage",0.0,true,"No strong human prior usage overlap in fixture text; requires review."
"hart-review-needed","SMPL / SMPL-X encoding",0.0,true,"No strong SMPL / SMPL-X encoding overlap in fixture text; requires review."
"hart-review-needed","VGGT token integration",0.0,true,"No strong VGGT token integration overlap in fixture text; requires review."
"hart-review-needed","evaluation target",0.0,true,"No strong evaluation target overlap in fixture text; requires review."
"hart-review-needed","dataset",0.25,true,"Possible dataset overlap via terms: hart."
"hart-review-needed","claimed contribution",0.0,true,"No strong claimed contribution overlap in fixture text; requires review."
"vggt-hpe-review-needed","task",0.0,true,"No strong task overlap in fixture text; requires review."
"vggt-hpe-review-needed","input",0.0,true,"No strong input overlap in fixture text; requires review."
"vggt-hpe-review-needed","output",0.0,true,"No strong output overlap in fixture text; requires review."
"vggt-hpe-review-needed","representation",0.0,true,"No strong representation overlap in fixture text; requires review."
"vggt-hpe-review-needed","model component",0.0,true,"No strong model component overlap in fixture text; requires review."
"vggt-hpe-review-needed","human prior usage",0.0,true,"No strong human prior usage overlap in fixture text; requires review."
"vggt-hpe-review-needed","SMPL / SMPL-X encoding",0.0,true,"No strong SMPL / SMPL-X encoding overlap in fixture text; requires review."
"vggt-hpe-review-needed","VGGT token integration",0.25,true,"Possible VGGT token integration overlap via terms: vggt."
"vggt-hpe-review-needed","evaluation target",0.0,true,"No strong evaluation target overlap in fixture text; requires review."
"vggt-hpe-review-needed","dataset",0.0,true,"No strong dataset overlap in fixture text; requires review."
"vggt-hpe-review-needed","claimed contribution",0.0,true,"No strong claimed contribution overlap in fixture text; requires review."
"hggt-review-needed","task",0.0,true,"No strong task overlap in fixture text; requires review."
"hggt-review-needed","input",0.0,true,"No strong input overlap in fixture text; requires review."
"hggt-review-needed","output",0.0,true,"No strong output overlap in fixture text; requires review."
"hggt-review-needed","representation",0.0,true,"No strong representation overlap in fixture text; requires review."
"hggt-review-needed","model component",0.0,true,"No strong model component overlap in fixture text; requires review."
"hggt-review-needed","human prior usage",0.0,true,"No strong human prior usage overlap in fixture text; requires review."
"hggt-review-needed","SMPL / SMPL-X encoding",0.0,true,"No strong SMPL / SMPL-X encoding overlap in fixture text; requires review."
"hggt-review-needed","VGGT token integration",0.0,true,"No strong VGGT token integration overlap in fixture text; requires review."
"hggt-review-needed","evaluation target",0.0,true,"No strong evaluation target overlap in fixture text; requires review."
"hggt-review-needed","dataset",0.0,true,"No strong dataset overlap in fixture text; requires review."
"hggt-review-needed","claimed contribution",0.0,true,"No strong claimed contribution overlap in fixture text; requires review."
"fus3d-review-needed","task",0.0,true,"No strong task overlap in fixture text; requires review."
"fus3d-review-needed","input",0.0,true,"No strong input overlap in fixture text; requires review."
"fus3d-review-needed","output",0.0,true,"No strong output overlap in fixture text; requires review."
"fus3d-review-needed","representation",0.0,true,"No strong representation overlap in fixture text; requires review."
"fus3d-review-needed","model component",0.0,true,"No strong model component overlap in fixture text; requires review."
"fus3d-review-needed","human prior usage",0.0,true,"No strong human prior usage overlap in fixture text; requires review."
"fus3d-review-needed","SMPL / SMPL-X encoding",0.0,true,"No strong SMPL / SMPL-X encoding overlap in fixture text; requires review."
"fus3d-review-needed","VGGT token integration",0.0,true,"No strong VGGT token integration overlap in fixture text; requires review."
"fus3d-review-needed","evaluation target",0.0,true,"No strong evaluation target overlap in fixture text; requires review."
"fus3d-review-needed","dataset",0.0,true,"No strong dataset overlap in fixture text; requires review."
"fus3d-review-needed","claimed contribution",0.0,true,"No strong claimed contribution overlap in fixture text; requires review."
